k,time_s,safety_mode,ctrl_mode,fw,vdc,rs,wm,omega_ref,id_ref,iq_ref,id_fw,theta_ref,theta_mech,epos_live,epos_pi,espd,i_alpha,i_beta,tl_hat,mpcJ,enc,iq_inj,frf_freq_hz
73,0.00365000,0,1,0,48.881927,0.445931,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001534,0.001534,0.000000,0.000000,-0.262534,-0.151206,-1.037068,0.010098,-1,0.000000,0.000000
74,0.00370000,0,1,0,48.816055,0.446872,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001534,0.001534,0.000000,0.000000,-0.174441,0.033622,-0.984628,0.005210,-1,0.000000,0.000000
75,0.00375000,0,1,0,48.749268,0.446824,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001534,0.001534,0.000000,0.000000,-0.228927,0.067790,-0.934201,0.009961,-1,0.000000,0.000000
76,0.00380000,0,1,0,48.681671,0.445206,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001534,0.001534,0.000000,0.000000,-0.281486,0.104799,-0.885633,0.008350,-1,0.000000,0.000000
77,0.00385000,0,1,0,48.613346,0.446415,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001534,0.001534,0.000000,0.000000,-0.032247,0.125050,-0.839103,0.002891,-1,0.000000,0.000000
78,0.00390000,0,1,0,48.544395,0.446442,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001534,0.001534,0.000000,0.000000,-0.015315,0.176672,-0.793970,0.005769,-1,0.000000,0.000000
79,0.00395000,0,1,0,48.474907,0.446456,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.001534,0.001534,0.000000,0.000000,-0.009815,0.228337,-0.750162,0.009637,-1,0.000000,0.000000
80,0.00400000,0,1,0,48.404976,0.446449,0.000000,0.000000,0.000000,0.060000,0.000000,0.000000,-0.001534,0.001534,0.000000,1.165132,-0.008974,0.281848,-0.707582,0.009007,-1,0.000000,0.000000
81,0.00405000,0,1,0,48.334702,0.446428,0.000000,0.000000,0.000000,0.069908,0.000000,0.000000,-0.001534,0.001534,0.000000,0.000000,-0.006923,0.337611,-0.666126,0.013120,-1,0.000000,0.000000
82,0.00410000,0,1,0,48.264175,0.445251,0.000000,0.000000,0.000000,0.069908,0.000000,0.000000,-0.001534,0.001534,0.000000,0.000000,-0.004823,0.395828,-0.625695,0.011012,-1,0.000000,0.000000
83,0.00415000,0,1,0,48.193504,0.446065,0.000000,0.000000,0.000000,0.069908,0.000000,0.000000,-0.001534,0.001534,0.000000,0.000000,0.150509,0.221811,-0.590404,0.007795,-1,0.000000,0.000000
84,0.00420000,0,1,0,48.122768,0.444652,0.000000,0.000000,0.000000,0.069908,0.000000,0.000000,-0.001534,0.001534,0.000000,0.000000,0.213861,0.250739,-0.556352,0.007640,-1,0.000000,0.000000
85,0.00425000,0,1,0,48.052082,0.446681,0.000000,0.000000,0.000000,0.069908,0.000000,0.000000,-0.001534,0.001534,0.000000,0.000000,0.105255,0.103584,-0.526659,0.001030,-1,0.000000,0.000000
86,0.00430000,0,1,0,47.981533,0.446464,0.000000,0.000000,0.000000,0.069908,0.000000,0.000000,-0.001534,0.001534,0.000000,0.000000,0.127900,0.087269,-0.498743,0.001938,-1,0.000000,0.000000
87,0.00435000,0,1,0,47.911217,0.446337,0.000000,0.000000,0.000000,0.069908,0.000000,0.000000,-0.001534,0.001534,0.000000,0.000000,0.149800,0.069656,-0.472536,0.003132,-1,0.000000,0.000000
88,0.00440000,0,1,0,47.841232,0.446182,0.000000,0.000000,0.000000,0.069908,0.000000,0.000000,-0.001534,0.001534,0.000000,0.000000,0.175341,0.056016,-0.447883,0.004679,-1,0.000000,0.000000
89,0.00445000,0,1,0,47.771671,0.446162,0.000000,0.000000,0.000000,0.069908,0.000000,0.000000,-0.001534,0.001534,0.000000,0.000000,0.200761,0.041083,-0.424727,0.006573,-1,0.000000,0.000000
90,0.00450000,0,1,0,47.702637,0.445984,0.000000,0.000000,0.000000,0.020169,0.000000,0.000000,-0.001534,0.001534,0.000000,0.324490,0.245824,-0.004130,-0.403538,0.009368,-1,0.000000,0.000000
91,0.00455000,0,1,0,47.634212,0.444417,0.000000,0.000000,0.000000,0.020169,0.000000,0.000000,-0.001534,0.001534,0.000000,0.000000,0.273685,-0.071994,-0.384625,0.007864,-1,0.000000,0.000000
92,0.00460000,0,1,0,47.566502,0.448528,0.000000,0.000000,0.000000,0.020169,0.000000,0.000000,-0.001534,0.001534,0.000000,0.000000,0.051782,-0.056467,-0.366404,0.001096,-1,0.000000,0.000000
93,0.00465000,0,1,0,47.499592,0.448312,0.000000,0.000000,0.000000,0.020169,0.000000,0.000000,-0.001534,0.001534,0.000000,0.000000,0.066712,-0.077037,-0.349463,0.001760,-1,0.000000,0.000000
94,0.00470000,0,1,0,47.433575,0.448774,0.000000,0.000000,0.000000,0.020169,0.000000,0.000000,-0.001534,0.001534,0.000000,0.000000,0.054143,-0.099172,-0.333768,0.002648,-1,0.000000,0.000000
